,cindex,magnitude_gamma
0,substituted_benzene_para_0,11012.91
1,substituted_benzene_para_1,14410.38
2,substituted_benzene_para_10,13482.02
3,substituted_benzene_para_100,23239.83
4,substituted_benzene_para_101,8441.383
5,substituted_benzene_para_102,12974.39
6,substituted_benzene_para_103,16468.9
7,substituted_benzene_para_104,13948.6
8,substituted_benzene_para_105,14628.47
9,substituted_benzene_para_106,10593.34
10,substituted_benzene_para_107,19273.43
11,substituted_benzene_para_108,26458.79
12,substituted_benzene_para_109,13995.5
13,substituted_benzene_para_11,22363.94
14,substituted_benzene_para_110,15243.38
15,substituted_benzene_para_111,19193.35
16,substituted_benzene_para_112,37126.18
17,substituted_benzene_para_113,8423.218
18,substituted_benzene_para_114,11583.27
19,substituted_benzene_para_115,17855.02
20,substituted_benzene_para_116,13104.49
21,substituted_benzene_para_117,13675.16
22,substituted_benzene_para_118,21277.0
23,substituted_benzene_para_119,16375.03
24,substituted_benzene_para_12,24630.92
25,substituted_benzene_para_13,21989.92
26,substituted_benzene_para_14,20228.59
27,substituted_benzene_para_15,19049.28
28,substituted_benzene_para_16,16914.51
29,substituted_benzene_para_17,16253.64
30,substituted_benzene_para_18,26743.14
31,substituted_benzene_para_19,34376.57
32,substituted_benzene_para_2,16466.27
33,substituted_benzene_para_20,8101.791
34,substituted_benzene_para_21,7986.986
35,substituted_benzene_para_22,20801.0
36,substituted_benzene_para_23,11308.7
37,substituted_benzene_para_24,14956.06
38,substituted_benzene_para_25,14187.75
39,substituted_benzene_para_26,34256.06
40,substituted_benzene_para_27,15403.0
41,substituted_benzene_para_28,18953.05
42,substituted_benzene_para_29,14664.92
43,substituted_benzene_para_3,10368.39
44,substituted_benzene_para_30,33357.14
45,substituted_benzene_para_31,17863.61
46,substituted_benzene_para_32,15432.07
47,substituted_benzene_para_33,12706.55
48,substituted_benzene_para_34,20365.87
49,substituted_benzene_para_35,43795.83
50,substituted_benzene_para_36,10502.0
51,substituted_benzene_para_37,31169.75
52,substituted_benzene_para_38,10598.07
53,substituted_benzene_para_39,9500.086
54,substituted_benzene_para_4,18248.12
55,substituted_benzene_para_40,27848.21
56,substituted_benzene_para_41,16527.84
57,substituted_benzene_para_42,25126.27
58,substituted_benzene_para_43,39588.49
59,substituted_benzene_para_44,18806.16
60,substituted_benzene_para_45,24010.96
61,substituted_benzene_para_46,7186.141
62,substituted_benzene_para_47,6209.763
63,substituted_benzene_para_48,15904.13
64,substituted_benzene_para_49,14998.72
65,substituted_benzene_para_5,16433.4
66,substituted_benzene_para_50,35935.71
67,substituted_benzene_para_51,10015.29
68,substituted_benzene_para_52,8200.601
69,substituted_benzene_para_53,12462.49
70,substituted_benzene_para_54,15387.33
71,substituted_benzene_para_55,11650.62
72,substituted_benzene_para_56,21050.38
73,substituted_benzene_para_57,12282.43
74,substituted_benzene_para_58,13891.75
75,substituted_benzene_para_59,18057.84
76,substituted_benzene_para_6,11539.22
77,substituted_benzene_para_60,29127.85
78,substituted_benzene_para_61,44176.35
79,substituted_benzene_para_62,11790.54
80,substituted_benzene_para_63,22822.23
81,substituted_benzene_para_64,18509.14
82,substituted_benzene_para_65,15183.91
83,substituted_benzene_para_66,16730.09
84,substituted_benzene_para_67,14169.51
85,substituted_benzene_para_68,19374.17
86,substituted_benzene_para_69,5305.674
87,substituted_benzene_para_7,17088.25
88,substituted_benzene_para_70,9548.566
89,substituted_benzene_para_71,6911.44
90,substituted_benzene_para_72,21623.6
91,substituted_benzene_para_73,25751.31
92,substituted_benzene_para_74,9611.369
93,substituted_benzene_para_75,15712.24
94,substituted_benzene_para_76,22471.83
95,substituted_benzene_para_77,12904.36
96,substituted_benzene_para_78,20704.55
97,substituted_benzene_para_79,13687.61
98,substituted_benzene_para_8,15715.74
99,substituted_benzene_para_80,14170.05
100,substituted_benzene_para_81,12265.76
101,substituted_benzene_para_82,12052.66
102,substituted_benzene_para_83,16105.65
103,substituted_benzene_para_84,23294.88
104,substituted_benzene_para_85,17266.97
105,substituted_benzene_para_86,10888.55
106,substituted_benzene_para_87,18576.7
107,substituted_benzene_para_88,27140.13
108,substituted_benzene_para_89,16836.16
109,substituted_benzene_para_9,12248.08
110,substituted_benzene_para_90,26047.52
111,substituted_benzene_para_91,16087.2
112,substituted_benzene_para_92,12991.85
113,substituted_benzene_para_93,9173.878
114,substituted_benzene_para_94,24458.28
115,substituted_benzene_para_95,12272.36
116,substituted_benzene_para_96,17091.33
117,substituted_benzene_para_97,13891.6
118,substituted_benzene_para_98,7927.95
119,substituted_benzene_para_99,12575.3
